Page,date,views,index
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-01,20381245,1
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-02,20752194,2
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-03,19573967,3
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-04,20439645,4
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-05,20772109,5
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-06,22544669,6
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-07,21210887,7
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-08,19107911,8
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-09,19993848,9
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-10,20201821,10
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-11,19697811,11
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-12,20232622,12
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-13,20516284,13
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-14,19701242,14
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-15,19563106,15
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-16,19658463,16
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-17,18989969,17
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-18,18364385,18
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-19,18825015,19
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-20,20338627,20
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-21,19740114,21
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-22,19536361,22
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-23,19620144,23
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-24,18639334,24
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-25,19317992,25
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-26,20404878,26
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-27,20155604,27
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-28,19891238,28
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-29,27562967,29
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-30,18497101,30
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-31,17928619,31
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-01,18184589,32
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-02,19406979,33
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-03,18952314,34
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-04,20533464,35
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-05,20246181,36
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-06,20060143,37
